Линия метро, Линия метро, Станция отправления, Станция прибытия, Время проезда в метро, Схема метро, Расстояние, Ссылка на маршрут на карте
Филевская линия, Филевская линия, Арбатская, Александровский сад, 65, http://metro.yandex.ru/moscow?from=67&to=68&route=0, 0.85576, http://www.yournavigation.org/?flat=55.752131flon=37.601519&tlat=55.752075&tlon=37.609308&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Выставочная, Международная, 120, http://metro.yandex.ru/moscow?from=69&to=70&route=0, 1.294624, http://www.yournavigation.org/?flat=55.749547flon=37.543021&tlat=55.748640&tlon=37.533041&v=foot&shortest=1&layer=mapnik
Филевская линия, Калининская линия, Выставочная, Деловой центр, 180, http://metro.yandex.ru/moscow?from=69&to=193&route=0, 0.404885, http://www.yournavigation.org/?flat=55.749547flon=37.543021&tlat=55.74927&tlon=37.54013&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Парк культуры, Октябрьская, 120, http://metro.yandex.ru/moscow?from=71&to=72&route=0, 1.47753, http://www.yournavigation.org/?flat=55.736077flon=37.595061&tlat=55.729255&tlon=37.610979&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Октябрьская, Добрынинская, 105, http://metro.yandex.ru/moscow?from=72&to=73&route=0, 0.967495, http://www.yournavigation.org/?flat=55.729255flon=37.610979&tlat=55.729012&tlon=37.622711&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Калужско-Рижская линия, Октябрьская, Октябрьская, 180, http://metro.yandex.ru/moscow?from=72&to=95&route=0, 0.046812, http://www.yournavigation.org/?flat=55.729255flon=37.610979&tlat=55.729255&tlon=37.610979&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Добрынинская, Павелецкая, 115, http://metro.yandex.ru/moscow?from=73&to=74&route=0, 1.146645, http://www.yournavigation.org/?flat=55.729012flon=37.622711&tlat=55.729787&tlon=37.638961&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Серпуховско-Тимирязевская линия, Добрынинская, Серпуховская, 180, http://metro.yandex.ru/moscow?from=73&to=146&route=0, 0.562239, http://www.yournavigation.org/?flat=55.729012flon=37.622711&tlat=55.726680&tlon=37.625199&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Павелецкая, Таганская, 135, http://metro.yandex.ru/moscow?from=74&to=75&route=0, 2.223593, http://www.yournavigation.org/?flat=55.729787flon=37.638961&tlat=55.742433&tlon=37.653146&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Таганская, Курская, 170, http://metro.yandex.ru/moscow?from=75&to=76&route=0, 2.052696, http://www.yournavigation.org/?flat=55.742433flon=37.653146&tlat=55.758640&tlon=37.659155&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Таганско-Краснопресненская линия, Таганская, Таганская, 180, http://metro.yandex.ru/moscow?from=75&to=119&route=0, 0.026001, http://www.yournavigation.org/?flat=55.742433flon=37.653146&tlat=55.742433&tlon=37.653146&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Калининская линия, Таганская, Марксистская, 180, http://metro.yandex.ru/moscow?from=75&to=131&route=0, 0.361795, http://www.yournavigation.org/?flat=55.742433flon=37.653146&tlat=55.740993&tlon=37.656802&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Курская, Комсомольская, 175, http://metro.yandex.ru/moscow?from=76&to=77&route=0, 2.057477, http://www.yournavigation.org/?flat=55.758640flon=37.659155&tlat=55.774072&tlon=37.654565&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Люблинская линия, Курская, Чкаловская, 360, http://metro.yandex.ru/moscow?from=76&to=160&route=0, 0.444862, http://www.yournavigation.org/?flat=55.758640flon=37.659155&tlat=55.755930&tlon=37.659263&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Комсомольская, Проспект Мира, 160, http://metro.yandex.ru/moscow?from=77&to=78&route=0, 2.125366, http://www.yournavigation.org/?flat=55.774072flon=37.654565&tlat=55.781757&tlon=37.633482&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Проспект Мира, Новослободская, 160, http://metro.yandex.ru/moscow?from=78&to=79&route=0, 2.545091, http://www.yournavigation.org/?flat=55.781757flon=37.633482&tlat=55.779565&tlon=37.601421&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Калужско-Рижская линия, Проспект Мира, Проспект Мира, 180, http://metro.yandex.ru/moscow?from=78&to=90&route=0, 0.022301, http://www.yournavigation.org/?flat=55.781757flon=37.633482&tlat=55.781757&tlon=37.633482&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Новослободская, Белорусская, 135, http://metro.yandex.ru/moscow?from=79&to=80&route=0, 1.335795, http://www.yournavigation.org/?flat=55.779565flon=37.601421&tlat=55.777170&tlon=37.586194&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Серпуховско-Тимирязевская линия, Новослободская, Менделеевская, 180, http://metro.yandex.ru/moscow?from=79&to=141&route=0, 0.480008, http://www.yournavigation.org/?flat=55.779565flon=37.601421&tlat=55.781788&tlon=37.598735&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Белорусская, Краснопресненская, 165, http://metro.yandex.ru/moscow?from=80&to=81&route=0, 2.501816, http://www.yournavigation.org/?flat=55.777170flon=37.586194&tlat=55.760211&tlon=37.577211&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Краснопресненская, Киевская, 160, http://metro.yandex.ru/moscow?from=81&to=82&route=0, 2.718786, http://www.yournavigation.org/?flat=55.760211flon=37.577211&tlat=55.743117&tlon=37.564132&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Таганско-Краснопресненская линия, Краснопресненская, Баррикадная, 180, http://metro.yandex.ru/moscow?from=81&to=115&route=0, 0.274295, http://www.yournavigation.org/?flat=55.760211flon=37.577211&tlat=55.760818&tlon=37.581280&v=foot&shortest=1&layer=mapnik
Кольцевая линия, Кольцевая линия, Киевская, Парк культуры, 175, http://metro.yandex.ru/moscow?from=82&to=71&route=0, 2.486887, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.736077&tlon=37.595061&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Медведково, Бабушкинская, 160, http://metro.yandex.ru/moscow?from=83&to=84&route=0, 2.518868, http://www.yournavigation.org/?flat=55.887473flon=37.661527&tlat=55.869794&tlon=37.664581&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Бабушкинская, Свиблово, 140, http://metro.yandex.ru/moscow?from=84&to=85&route=0, 1.957332, http://www.yournavigation.org/?flat=55.869794flon=37.664581&tlat=55.855558&tlon=37.653379&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Свиблово, Ботанический сад, 135, http://metro.yandex.ru/moscow?from=85&to=86&route=0, 1.694547, http://www.yournavigation.org/?flat=55.855558flon=37.653379&tlat=55.844597&tlon=37.637811&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Ботанический сад, ВДНХ, 210, http://metro.yandex.ru/moscow?from=86&to=87&route=0, 3.310587, http://www.yournavigation.org/?flat=55.844597flon=37.637811&tlat=55.821401&tlon=37.641090&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, ВДНХ, Алексеевская, 135, http://metro.yandex.ru/moscow?from=87&to=88&route=0, 1.790167, http://www.yournavigation.org/?flat=55.821401flon=37.641090&tlat=55.807800&tlon=37.638737&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Алексеевская, Рижская, 140, http://metro.yandex.ru/moscow?from=88&to=89&route=0, 1.940191, http://www.yournavigation.org/?flat=55.807800flon=37.638737&tlat=55.792513&tlon=37.636123&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Рижская, Проспект Мира, 130, http://metro.yandex.ru/moscow?from=89&to=90&route=0, 1.413617, http://www.yournavigation.org/?flat=55.792513flon=37.636123&tlat=55.781757&tlon=37.633482&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Проспект Мира, Сухаревская, 120, http://metro.yandex.ru/moscow?from=90&to=91&route=0, 1.057145, http://www.yournavigation.org/?flat=55.781757flon=37.633482&tlat=55.772315&tlon=37.632323&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Сухаревская, Тургеневская, 100, http://metro.yandex.ru/moscow?from=91&to=92&route=0, 1.089823, http://www.yournavigation.org/?flat=55.772315flon=37.632323&tlat=55.765276&tlon=37.636742&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Тургеневская, Китай-город, 125, http://metro.yandex.ru/moscow?from=92&to=93&route=0, 1.25196, http://www.yournavigation.org/?flat=55.765276flon=37.636742&tlat=55.756498&tlon=37.631326&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Люблинская линия, Тургеневская, Сретенский бульвар, 180, http://metro.yandex.ru/moscow?from=92&to=159&route=0, 0.17766, http://www.yournavigation.org/?flat=55.765276flon=37.636742&tlat=55.766299&tlon=37.636374&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Китай-город, Третьяковская, 170, http://metro.yandex.ru/moscow?from=93&to=94&route=0, 2.361264, http://www.yournavigation.org/?flat=55.756498flon=37.631326&tlat=55.740319&tlon=37.625981&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Таганско-Краснопресненская линия, Китай-город, Китай-город, 120, http://metro.yandex.ru/moscow?from=93&to=118&route=0, 0.050715, http://www.yournavigation.org/?flat=55.756498flon=37.631326&tlat=55.756498&tlon=37.631326&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Третьяковская, Октябрьская, 155, http://metro.yandex.ru/moscow?from=94&to=95&route=0, 2.042552, http://www.yournavigation.org/?flat=55.740319flon=37.625981&tlat=55.729255&tlon=37.610979&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калининская линия, Третьяковская, Третьяковская, 120, http://metro.yandex.ru/moscow?from=94&to=132&route=0, 0.016167, http://www.yournavigation.org/?flat=55.740319flon=37.625981&tlat=55.740319&tlon=37.625981&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Октябрьская, Шаболовская, 130, http://metro.yandex.ru/moscow?from=95&to=96&route=0, 1.379962, http://www.yournavigation.org/?flat=55.729255flon=37.610979&tlat=55.718821&tlon=37.607799&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Шаболовская, Ленинский проспект, 190, http://metro.yandex.ru/moscow?from=96&to=97&route=0, 2.423227, http://www.yournavigation.org/?flat=55.718821flon=37.607799&tlat=55.707689&tlon=37.586239&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Ленинский проспект, Академическая, 185, http://metro.yandex.ru/moscow?from=97&to=98&route=0, 2.652557, http://www.yournavigation.org/?flat=55.707689flon=37.586239&tlat=55.687660&tlon=37.573339&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Академическая, Профсоюзная, 120, http://metro.yandex.ru/moscow?from=98&to=99&route=0, 1.39502, http://www.yournavigation.org/?flat=55.687660flon=37.573339&tlat=55.677671&tlon=37.562595&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Профсоюзная, Новые Черёмушки, 100, http://metro.yandex.ru/moscow?from=99&to=100&route=0, 1.031939, http://www.yournavigation.org/?flat=55.677671flon=37.562595&tlat=55.670077&tlon=37.554493&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Новые Черёмушки, Калужская, 140, http://metro.yandex.ru/moscow?from=100&to=101&route=0, 1.788066, http://www.yournavigation.org/?flat=55.670077flon=37.554493&tlat=55.656682&tlon=37.540075&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Калужская, Беляево, 170, http://metro.yandex.ru/moscow?from=101&to=102&route=0, 1.918107, http://www.yournavigation.org/?flat=55.656682flon=37.540075&tlat=55.642357&tlon=37.526115&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Беляево, Коньково, 115, http://metro.yandex.ru/moscow?from=102&to=103&route=0, 1.06209, http://www.yournavigation.org/?flat=55.642357flon=37.526115&tlat=55.633658&tlon=37.520024&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Коньково, Теплый Стан, 150, http://metro.yandex.ru/moscow?from=103&to=104&route=0, 1.965036, http://www.yournavigation.org/?flat=55.633658flon=37.520024&tlat=55.618730&tlon=37.505912&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Теплый Стан, Ясенево, 170, http://metro.yandex.ru/moscow?from=104&to=105&route=0, 2.435338, http://www.yournavigation.org/?flat=55.618730flon=37.505912&tlat=55.606182&tlon=37.533400&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Калужско-Рижская линия, Ясенево, Новоясеневская, 140, http://metro.yandex.ru/moscow?from=105&to=106&route=0, 1.653662, http://www.yournavigation.org/?flat=55.606182flon=37.533400&tlat=55.601655&tlon=37.553046&v=foot&shortest=1&layer=mapnik
Калужско-Рижская линия, Бутовская линия, Новоясеневская, Битцевский парк, 120, http://metro.yandex.ru/moscow?from=106&to=191&route=0, 0.234278, http://www.yournavigation.org/?flat=55.601655flon=37.553046&tlat=55.60029&tlon=37.55562&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Планерная, Сходненская, 110, http://metro.yandex.ru/moscow?from=107&to=108&route=0, 1.199955, http://www.yournavigation.org/?flat=55.860529flon=37.436382&tlat=55.850510&tlon=37.439787&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Сходненская, Тушинская, 175, http://metro.yandex.ru/moscow?from=108&to=109&route=0, 4.029119, http://www.yournavigation.org/?flat=55.850510flon=37.439787&tlat=55.827080&tlon=37.437604&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Тушинская, Спартак, 100, http://metro.yandex.ru/moscow?from=109&to=195&route=0, 1.226283, http://www.yournavigation.org/?flat=55.827080flon=37.437604&tlat=55.81705&tlon=37.43407&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Спартак, Щукинская, 160, http://metro.yandex.ru/moscow?from=195&to=110&route=0, 3.910524, http://www.yournavigation.org/?flat=55.81705flon=37.43407&tlat=55.808827&tlon=37.463772&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Щукинская, Октябрьское поле, 185, http://metro.yandex.ru/moscow?from=110&to=111&route=0, 2.687724, http://www.yournavigation.org/?flat=55.808827flon=37.463772&tlat=55.793581&tlon=37.493317&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Октябрьское поле, Полежаевская, 200, http://metro.yandex.ru/moscow?from=111&to=112&route=0, 3.246479, http://www.yournavigation.org/?flat=55.793581flon=37.493317&tlat=55.777201&tlon=37.517895&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Полежаевская, Беговая, 150, http://metro.yandex.ru/moscow?from=112&to=113&route=0, 1.918502, http://www.yournavigation.org/?flat=55.777201flon=37.517895&tlat=55.773505&tlon=37.545518&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Беговая, Улица 1905 года, 130, http://metro.yandex.ru/moscow?from=113&to=114&route=0, 1.929891, http://www.yournavigation.org/?flat=55.773505flon=37.545518&tlat=55.764273&tlon=37.561419&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Улица 1905 года, Баррикадная, 125, http://metro.yandex.ru/moscow?from=114&to=115&route=0, 1.304867, http://www.yournavigation.org/?flat=55.764273flon=37.561419&tlat=55.760818&tlon=37.581280&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Баррикадная, Пушкинская, 165, http://metro.yandex.ru/moscow?from=115&to=116&route=0, 2.153446, http://www.yournavigation.org/?flat=55.760818flon=37.581280&tlat=55.765747&tlon=37.603900&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Пушкинская, Кузнецкий мост, 120, http://metro.yandex.ru/moscow?from=116&to=117&route=0, 1.877827, http://www.yournavigation.org/?flat=55.765747flon=37.603900&tlat=55.761502&tlon=37.624525&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Серпуховско-Тимирязевская линия, Пушкинская, Чеховская, 240, http://metro.yandex.ru/moscow?from=116&to=143&route=0, 0.373452, http://www.yournavigation.org/?flat=55.765747flon=37.603900&tlat=55.765843&tlon=37.608167&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Кузнецкий мост, Китай-город, 90, http://metro.yandex.ru/moscow?from=117&to=118&route=0, 0.943243, http://www.yournavigation.org/?flat=55.761502flon=37.624525&tlat=55.756498&tlon=37.631326&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Китай-город, Таганская, 170, http://metro.yandex.ru/moscow?from=118&to=119&route=0, 2.571018, http://www.yournavigation.org/?flat=55.756498flon=37.631326&tlat=55.742433&tlon=37.653146&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Таганская, Пролетарская, 145, http://metro.yandex.ru/moscow?from=119&to=120&route=0, 1.777605, http://www.yournavigation.org/?flat=55.742433flon=37.653146&tlat=55.731546&tlon=37.666917&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Калининская линия, Таганская, Марксистская, 240, http://metro.yandex.ru/moscow?from=119&to=131&route=0, 0.361795, http://www.yournavigation.org/?flat=55.742433flon=37.653146&tlat=55.740993&tlon=37.656802&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Пролетарская, Волгоградский проспект, 150, http://metro.yandex.ru/moscow?from=120&to=121&route=0, 2.283985, http://www.yournavigation.org/?flat=55.731546flon=37.666917&tlat=55.724900&tlon=37.687102&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Люблинская линия, Пролетарская, Крестьянская застава, 180, http://metro.yandex.ru/moscow?from=120&to=162&route=0, 0.377574, http://www.yournavigation.org/?flat=55.731546flon=37.666917&tlat=55.732464&tlon=37.664788&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Волгоградский проспект, Текстильщики, 245, http://metro.yandex.ru/moscow?from=121&to=122&route=0, 3.396691, http://www.yournavigation.org/?flat=55.724900flon=37.687102&tlat=55.709211&tlon=37.732117&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Текстильщики, Кузьминки, 185, http://metro.yandex.ru/moscow?from=122&to=123&route=0, 2.263359, http://www.yournavigation.org/?flat=55.709211flon=37.732117&tlat=55.705417&tlon=37.765902&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Кузьминки, Рязанский проспект, 185, http://metro.yandex.ru/moscow?from=123&to=124&route=0, 2.802921, http://www.yournavigation.org/?flat=55.705417flon=37.765902&tlat=55.717366&tlon=37.793606&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Рязанский проспект, Выхино, 170, http://metro.yandex.ru/moscow?from=124&to=125&route=0, 1.888958, http://www.yournavigation.org/?flat=55.717366flon=37.793606&tlat=55.715682&tlon=37.817969&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Выхино, Лермонтовский проспект, 240, http://metro.yandex.ru/moscow?from=125&to=189&route=0, 3.204805, http://www.yournavigation.org/?flat=55.715682flon=37.817969&tlat=55.69951&tlon=37.8526&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Новогиреево, Перово, 150, http://metro.yandex.ru/moscow?from=126&to=127&route=0, 2.035573, http://www.yournavigation.org/?flat=55.751675flon=37.817295&tlat=55.751320&tlon=37.786887&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Новокосино, Новогиреево, 200, http://metro.yandex.ru/moscow?from=186&to=126&route=0, 3.739069, http://www.yournavigation.org/?flat=55.745113flon=37.864052&tlat=55.751675&tlon=37.817295&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Перово, Шоссе Энтузиастов, 195, http://metro.yandex.ru/moscow?from=127&to=128&route=0, 3.412602, http://www.yournavigation.org/?flat=55.751320flon=37.786887&tlat=55.758255&tlon=37.751583&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Шоссе Энтузиастов, Авиамоторная, 150, http://metro.yandex.ru/moscow?from=128&to=129&route=0, 2.594405, http://www.yournavigation.org/?flat=55.758255flon=37.751583&tlat=55.751432&tlon=37.716621&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Авиамоторная, Площадь Ильича, 180, http://metro.yandex.ru/moscow?from=129&to=130&route=0, 2.537527, http://www.yournavigation.org/?flat=55.751432flon=37.716621&tlat=55.747024&tlon=37.680589&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Площадь Ильича, Марксистская, 175, http://metro.yandex.ru/moscow?from=130&to=131&route=0, 1.98575, http://www.yournavigation.org/?flat=55.747024flon=37.680589&tlat=55.740993&tlon=37.656802&v=foot&shortest=1&layer=mapnik
Калининская линия, Люблинская линия, Площадь Ильича, Римская, 180, http://metro.yandex.ru/moscow?from=130&to=161&route=0, 0.123131, http://www.yournavigation.org/?flat=55.747024flon=37.680589&tlat=55.746228&tlon=37.681254&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Марксистская, Третьяковская, 160, http://metro.yandex.ru/moscow?from=131&to=132&route=0, 3.160123, http://www.yournavigation.org/?flat=55.740993flon=37.656802&tlat=55.740319&tlon=37.625981&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Алтуфьево, Бибирево, 150, http://metro.yandex.ru/moscow?from=133&to=134&route=0, 2.224006, http://www.yournavigation.org/?flat=55.898376flon=37.587344&tlat=55.883868&tlon=37.603011&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Бибирево, Отрадное, 195, http://metro.yandex.ru/moscow?from=134&to=135&route=0, 2.935481, http://www.yournavigation.org/?flat=55.883868flon=37.603011&tlat=55.863384&tlon=37.604843&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Отрадное, Владыкино, 165, http://metro.yandex.ru/moscow?from=135&to=136&route=0, 2.666173, http://www.yournavigation.org/?flat=55.863384flon=37.604843&tlat=55.847922&tlon=37.590282&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Владыкино, Петровско-Разумовская, 145, http://metro.yandex.ru/moscow?from=136&to=137&route=0, 2.57554, http://www.yournavigation.org/?flat=55.847922flon=37.590282&tlat=55.836524&tlon=37.575558&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Петровско-Разумовская, Тимирязевская, 195, http://metro.yandex.ru/moscow?from=137&to=138&route=0, 2.576164, http://www.yournavigation.org/?flat=55.836524flon=37.575558&tlat=55.819019&tlon=37.579151&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Тимирязевская, Дмитровская, 100, http://metro.yandex.ru/moscow?from=138&to=139&route=0, 1.644417, http://www.yournavigation.org/?flat=55.819019flon=37.579151&tlat=55.807881&tlon=37.580831&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Дмитровская, Савёловская, 115, http://metro.yandex.ru/moscow?from=139&to=140&route=0, 1.91544, http://www.yournavigation.org/?flat=55.807881flon=37.580831&tlat=55.793313&tlon=37.588296&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Савёловская, Менделеевская, 115, http://metro.yandex.ru/moscow?from=140&to=141&route=0, 1.57261, http://www.yournavigation.org/?flat=55.793313flon=37.588296&tlat=55.781788&tlon=37.598735&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Менделеевская, Цветной бульвар, 155, http://metro.yandex.ru/moscow?from=141&to=142&route=0, 2.368298, http://www.yournavigation.org/?flat=55.781788flon=37.598735&tlat=55.771616&tlon=37.620986&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Цветной бульвар, Чеховская, 100, http://metro.yandex.ru/moscow?from=142&to=143&route=0, 1.379571, http://www.yournavigation.org/?flat=55.771616flon=37.620986&tlat=55.765843&tlon=37.608167&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Люблинская линия, Цветной бульвар, Трубная, 180, http://metro.yandex.ru/moscow?from=142&to=158&route=0, 0.470108, http://www.yournavigation.org/?flat=55.771616flon=37.620986&tlat=55.767939&tlon=37.621902&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Чеховская, Боровицкая, 150, http://metro.yandex.ru/moscow?from=143&to=144&route=0, 2.129042, http://www.yournavigation.org/?flat=55.765843flon=37.608167&tlat=55.750454&tlon=37.609254&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Боровицкая, Полянка, 140, http://metro.yandex.ru/moscow?from=144&to=145&route=0, 2.133041, http://www.yournavigation.org/?flat=55.750454flon=37.609254&tlat=55.736807&tlon=37.618471&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Полянка, Серпуховская, 115, http://metro.yandex.ru/moscow?from=145&to=146&route=0, 1.823436, http://www.yournavigation.org/?flat=55.736807flon=37.618471&tlat=55.726680&tlon=37.625199&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Серпуховская, Тульская, 205, http://metro.yandex.ru/moscow?from=146&to=147&route=0, 2.281248, http://www.yournavigation.org/?flat=55.726680flon=37.625199&tlat=55.708841&tlon=37.622612&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Тульская, Нагатинская, 225, http://metro.yandex.ru/moscow?from=147&to=148&route=0, 2.931223, http://www.yournavigation.org/?flat=55.708841flon=37.622612&tlat=55.683676&tlon=37.623061&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Нагатинская, Нагорная, 120, http://metro.yandex.ru/moscow?from=148&to=149&route=0, 2.373766, http://www.yournavigation.org/?flat=55.683676flon=37.623061&tlat=55.672854&tlon=37.610745&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Нагорная, Нахимовский проспект, 100, http://metro.yandex.ru/moscow?from=149&to=150&route=0, 1.587315, http://www.yournavigation.org/?flat=55.672854flon=37.610745&tlat=55.662379&tlon=37.605274&v=foot&shortest=1&layer=mapnik
