Линия метро, Линия метро, Станция отправления, Станция прибытия, Время проезда в метро, Схема метро, Расстояние, Ссылка на маршрут на карте
Сокольническая линия, Сокольническая линия, Спортивная, Воробьёвы горы, 185, http://metro.yandex.ru/moscow?from=15&to=16&route=0, 1.838454, http://www.yournavigation.org/?flat=55.722761flon=37.562227&tlat=55.710438&tlon=37.559317&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Воробьёвы горы, Университет, 225, http://metro.yandex.ru/moscow?from=16&to=17&route=0, 3.130656, http://www.yournavigation.org/?flat=55.710438flon=37.559317&tlat=55.692440&tlon=37.534532&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Университет, Проспект Вернадского, 180, http://metro.yandex.ru/moscow?from=17&to=18&route=0, 2.54146, http://www.yournavigation.org/?flat=55.692440flon=37.534532&tlat=55.676910&tlon=37.505831&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Проспект Вернадского, Юго-Западная, 170, http://metro.yandex.ru/moscow?from=18&to=19&route=0, 2.299849, http://www.yournavigation.org/?flat=55.676910flon=37.505831&tlat=55.663146&tlon=37.482852&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Речной вокзал, Водный стадион, 155, http://metro.yandex.ru/moscow?from=20&to=21&route=0, 1.81688, http://www.yournavigation.org/?flat=55.854891flon=37.476231&tlat=55.840209&tlon=37.486616&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Водный стадион, Войковская, 190, http://metro.yandex.ru/moscow?from=21&to=22&route=0, 4.294278, http://www.yournavigation.org/?flat=55.840209flon=37.486616&tlat=55.818923&tlon=37.497791&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Войковская, Сокол, 175, http://metro.yandex.ru/moscow?from=22&to=23&route=0, 2.509615, http://www.yournavigation.org/?flat=55.818923flon=37.497791&tlat=55.805042&tlon=37.514787&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Сокол, Аэропорт, 130, http://metro.yandex.ru/moscow?from=23&to=24&route=0, 1.379916, http://www.yournavigation.org/?flat=55.805042flon=37.514787&tlat=55.800261&tlon=37.532870&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Аэропорт, Динамо, 170, http://metro.yandex.ru/moscow?from=24&to=25&route=0, 2.15093, http://www.yournavigation.org/?flat=55.800261flon=37.532870&tlat=55.789704&tlon=37.558212&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Динамо, Белорусская, 185, http://metro.yandex.ru/moscow?from=25&to=26&route=0, 2.567846, http://www.yournavigation.org/?flat=55.789704flon=37.558212&tlat=55.777170&tlon=37.586194&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Белорусская, Маяковская, 115, http://metro.yandex.ru/moscow?from=26&to=27&route=0, 1.172485, http://www.yournavigation.org/?flat=55.777170flon=37.586194&tlat=55.769808&tlon=37.596192&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Кольцевая линия, Белорусская, Белорусская, 180, http://metro.yandex.ru/moscow?from=26&to=80&route=0, 0.059425, http://www.yournavigation.org/?flat=55.777170flon=37.586194&tlat=55.777170&tlon=37.586194&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Маяковская, Тверская, 105, http://metro.yandex.ru/moscow?from=27&to=28&route=0, 0.900618, http://www.yournavigation.org/?flat=55.769808flon=37.596192&tlat=55.764455&tlon=37.605939&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Тверская, Театральная, 105, http://metro.yandex.ru/moscow?from=28&to=29&route=0, 1.269789, http://www.yournavigation.org/?flat=55.764455flon=37.605939&tlat=55.758808&tlon=37.617734&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Таганско-Краснопресненская линия, Тверская, Пушкинская, 180, http://metro.yandex.ru/moscow?from=28&to=116&route=0, 0.210906, http://www.yournavigation.org/?flat=55.764455flon=37.605939&tlat=55.765747&tlon=37.603900&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Серпуховско-Тимирязевская линия, Тверская, Чеховская, 240, http://metro.yandex.ru/moscow?from=28&to=143&route=0, 0.265412, http://www.yournavigation.org/?flat=55.764455flon=37.605939&tlat=55.765843&tlon=37.608167&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Театральная, Новокузнецкая, 165, http://metro.yandex.ru/moscow?from=29&to=30&route=0, 2.542024, http://www.yournavigation.org/?flat=55.758808flon=37.617734&tlat=55.742276&tlon=37.629125&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Арбатско-Покровская линия, Театральная, Площадь Революции, 240, http://metro.yandex.ru/moscow?from=29&to=48&route=0, 0.414825, http://www.yournavigation.org/?flat=55.758808flon=37.617734&tlat=55.756726&tlon=37.622280&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Новокузнецкая, Павелецкая, 140, http://metro.yandex.ru/moscow?from=30&to=31&route=0, 1.662883, http://www.yournavigation.org/?flat=55.742276flon=37.629125&tlat=55.729787&tlon=37.638961&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Калужско-Рижская линия, Новокузнецкая, Третьяковская, 180, http://metro.yandex.ru/moscow?from=30&to=94&route=0, 0.420291, http://www.yournavigation.org/?flat=55.742276flon=37.629125&tlat=55.740319&tlon=37.625981&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Калининская линия, Новокузнецкая, Третьяковская, 180, http://metro.yandex.ru/moscow?from=30&to=132&route=0, 0.420291, http://www.yournavigation.org/?flat=55.742276flon=37.629125&tlat=55.740319&tlon=37.625981&v=foot&shortest=1&layer=mapnik
